,date_transaction,Région,nombre_transactions,taux_moyen,prix_m2
0,2014-12,Auvergne-Rhône-Alpes,8689,2.55,2539.253818802643
1,2014-12,Bourgogne-Franche-Comté,2733,2.55,1614.4568357743021
2,2014-12,Bretagne,3536,2.55,1923.7111997353106
3,2014-12,Centre-Val de Loire,2550,2.55,1761.4441136498829
4,2014-12,Grand Est,2264,2.55,1547.5754172014886
5,2014-12,Hauts-de-France,5443,2.55,1974.3660339795679
6,2014-12,Ile-de-France,12058,2.55,4857.404602717365
7,2014-12,Normandie,3189,2.55,1874.718660243112
8,2014-12,Nouvelle-Aquitaine,7446,2.55,2306.6656722365838
9,2014-12,Occitanie,7127,2.55,2381.233918625061
10,2014-12,Outre-mer,990,2.55,2937.596210648323
11,2014-12,Pays de la Loire,4920,2.55,2227.788284448934
12,2014-12,Provence-Alpes-Côte d'Azur,6493,2.55,3522.7109591292588
13,2015-01,Auvergne-Rhône-Alpes,5647,2.49,2393.5406881114
14,2015-01,Bourgogne-Franche-Comté,1758,2.49,1470.4847669196522
15,2015-01,Bretagne,2676,2.49,1826.87353275507
16,2015-01,Centre-Val de Loire,1914,2.49,1646.0690879732745
17,2015-01,Grand Est,1531,2.49,1391.064023073643
18,2015-01,Hauts-de-France,4006,2.49,1763.1615449695878
19,2015-01,Ile-de-France,8632,2.49,4828.211933745965
20,2015-01,Normandie,2355,2.49,1822.066997665011
21,2015-01,Nouvelle-Aquitaine,4523,2.49,2115.034017264113
22,2015-01,Occitanie,4830,2.49,2157.404112857331
23,2015-01,Outre-mer,388,2.49,2270.292986706137
24,2015-01,Pays de la Loire,2383,2.49,1942.6716598250441
25,2015-01,Provence-Alpes-Côte d'Azur,4545,2.49,3401.0006187181143
26,2015-02,Auvergne-Rhône-Alpes,5789,2.42,2387.816978968582
27,2015-02,Bourgogne-Franche-Comté,1859,2.42,1458.1408564732174
28,2015-02,Bretagne,2656,2.42,1835.7558013015891
29,2015-02,Centre-Val de Loire,1773,2.42,1613.780576549115
30,2015-02,Grand Est,1618,2.42,1464.8781244441723
31,2015-02,Hauts-de-France,4179,2.42,1802.0092967511687
32,2015-02,Ile-de-France,8883,2.42,4781.018442684732
33,2015-02,Normandie,2281,2.42,1811.3434618684182
34,2015-02,Nouvelle-Aquitaine,4778,2.42,2075.216337843431
35,2015-02,Occitanie,4922,2.42,2200.8986423695906
36,2015-02,Outre-mer,482,2.42,2300.878728607725
37,2015-02,Pays de la Loire,2639,2.42,1982.2008816486382
38,2015-02,Provence-Alpes-Côte d'Azur,4747,2.42,3374.689019409761
39,2015-03,Auvergne-Rhône-Alpes,6874,2.34,2425.402126454547
40,2015-03,Bourgogne-Franche-Comté,2139,2.34,1485.5166767398503
41,2015-03,Bretagne,2985,2.34,1874.9673149478808
42,2015-03,Centre-Val de Loire,2014,2.34,1636.7605267613644
43,2015-03,Grand Est,1763,2.34,1418.819712538624
44,2015-03,Hauts-de-France,4330,2.34,1791.9603222946855
45,2015-03,Ile-de-France,10820,2.34,4909.512327924443
46,2015-03,Normandie,2473,2.34,1804.9493005236188
47,2015-03,Nouvelle-Aquitaine,5504,2.34,2056.910155992198
48,2015-03,Occitanie,5677,2.34,2207.240138748341
49,2015-03,Outre-mer,570,2.34,2502.054864915714
50,2015-03,Pays de la Loire,3114,2.34,1973.809470551996
51,2015-03,Provence-Alpes-Côte d'Azur,5262,2.34,5070.821253466086
52,2015-04,Auvergne-Rhône-Alpes,7153,2.24,2489.6341172480593
53,2015-04,Bourgogne-Franche-Comté,2439,2.24,1460.3810012182919
54,2015-04,Bretagne,3059,2.24,1772.7409111807947
55,2015-04,Centre-Val de Loire,2166,2.24,1695.2037690514903
56,2015-04,Grand Est,1932,2.24,1370.9488968584596
57,2015-04,Hauts-de-France,4777,2.24,1765.9039903815722
58,2015-04,Ile-de-France,10235,2.24,4873.796747737517
59,2015-04,Normandie,2625,2.24,1786.7917937057014
60,2015-04,Nouvelle-Aquitaine,5606,2.24,2026.273175133058
61,2015-04,Occitanie,5918,2.24,2160.034178173746
62,2015-04,Outre-mer,577,2.24,2458.0776404447397
63,2015-04,Pays de la Loire,3296,2.24,1966.5192724804333
64,2015-04,Provence-Alpes-Côte d'Azur,5421,2.24,3399.8561864616568
65,2015-05,Auvergne-Rhône-Alpes,6334,2.18,2413.463065396209
66,2015-05,Bourgogne-Franche-Comté,2007,2.18,1541.1728421684395
67,2015-05,Bretagne,2937,2.18,1755.4119839076977
68,2015-05,Centre-Val de Loire,1912,2.1799999999999997,1620.0611228341334
69,2015-05,Grand Est,1749,2.18,1385.9347192545379
70,2015-05,Hauts-de-France,4132,2.18,1770.7575964812565
71,2015-05,Ile-de-France,9648,2.18,4800.485154583793
72,2015-05,Normandie,2361,2.18,1779.5310336655537
73,2015-05,Nouvelle-Aquitaine,4913,2.18,2032.3126077587044
74,2015-05,Occitanie,5232,2.18,2153.960923827069
75,2015-05,Outre-mer,482,2.18,2270.4935545693406
76,2015-05,Pays de la Loire,3045,2.18,2022.3211729785376
77,2015-05,Provence-Alpes-Côte d'Azur,4678,2.18,3357.310890069571
78,2015-06,Auvergne-Rhône-Alpes,8885,2.13,2462.555939391456
79,2015-06,Bourgogne-Franche-Comté,2817,2.13,1545.1673476214123
80,2015-06,Bretagne,3864,2.13,1857.2734057982836
81,2015-06,Centre-Val de Loire,2697,2.13,1640.4473067995518
82,2015-06,Grand Est,2469,2.13,1477.325957713208
83,2015-06,Hauts-de-France,5915,2.13,1821.4934215519656
84,2015-06,Ile-de-France,13722,2.13,4877.88972235469
85,2015-06,Normandie,3394,2.13,1843.1246142566924
86,2015-06,Nouvelle-Aquitaine,7055,2.13,2079.1083661561806
87,2015-06,Occitanie,7270,2.13,2215.1221169320424
88,2015-06,Outre-mer,645,2.13,2557.738043672835
89,2015-06,Pays de la Loire,4398,2.13,2037.4991776832512
90,2015-06,Provence-Alpes-Côte d'Azur,6659,2.13,3396.9296117462145
